Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Total,Je le fais déjà,86,157,191,45
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Total,"Non, et ce n’est pas prévu dans les 12 prochains mois",49,157,191,26
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Total,Sans réponse,34,157,191,18
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Total,"Non, mais c’est prévu dans les 12 prochains mois",7,157,191,4
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Total,Je ne sais pas,15,157,191,8
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une commune,Je le fais déjà,12,24,24,40
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une commune,Sans réponse,6,24,24,20
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une commune,Je ne sais pas,4,24,24,13
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une commune,"Non, et ce n’est pas prévu dans les 12 prochains mois",7,24,24,23
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Une commune,"Non, mais c’est prévu dans les 12 prochains mois",1,24,24,3
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de moins de 3 500 hab.,Je le fais déjà,3,6,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de moins de 3 500 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",1,6,9,11
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de moins de 3 500 hab.,Sans réponse,3,6,9,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de moins de 3 500 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,6,9,0
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de moins de 3 500 hab.,Je ne sais pas,2,6,9,22
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 3 500 à 10 000 hab.,Je le fais déjà,2,6,6,33
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 3 500 à 10 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",3,6,6,50
"Avec lesquels de ces partenaires potentiels collaborez-vous, ou prévoyez-vous de le faire, au sujet des données ?  [Un prestataire informatique]",Communes de 3 500 à 10 000 hab.,Sans réponse,0,6,6,0
