Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage,Edition
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Autre,"Oui, de façon continue",6,31,31,19,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Autre,"Oui, de façon fréquente",10,31,31,32,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Autre,"Non, probablement pas",5,31,31,16,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Autre,"Oui, de temps en temps",10,31,31,32,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 10 000 et 100 000 habitants,"Oui, de façon continue",14,35,35,40,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 10 000 et 100 000 habitants,"Oui, de façon fréquente",10,35,35,29,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 10 000 et 100 000 habitants,"Non, probablement pas",0,35,35,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 10 000 et 100 000 habitants,"Oui, de temps en temps",11,35,35,31,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 3 500 et 10 000 habitants,"Oui, de façon continue",1,17,17,6,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 3 500 et 10 000 habitants,"Oui, de façon fréquente",3,17,17,18,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 3 500 et 10 000 habitants,"Non, probablement pas",2,17,17,12,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Entre 3 500 et 10 000 habitants,"Oui, de temps en temps",11,17,17,65,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Moins de 3 500 habitants,"Oui, de façon continue",12,81,81,15,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Moins de 3 500 habitants,"Oui, de façon fréquente",12,81,81,15,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Moins de 3 500 habitants,"Non, probablement pas",21,81,81,26,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Moins de 3 500 habitants,"Oui, de temps en temps",36,81,81,44,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Plus de 100 000 habitants,"Oui, de façon continue",6,7,7,86,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Plus de 100 000 habitants,"Oui, de façon fréquente",0,7,7,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Plus de 100 000 habitants,"Non, probablement pas",0,7,7,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Plus de 100 000 habitants,"Oui, de temps en temps",1,7,7,14,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total,"Oui, de façon continue",95,297,297,32,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total,"Oui, de façon fréquente",76,297,297,26,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total,"Non, probablement pas",32,297,297,11,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total,"Oui, de temps en temps",94,297,297,32,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total hors communes < 3500 habitants,"Oui, de façon continue",83,216,216,38,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total hors communes < 3500 habitants,"Oui, de façon fréquente",64,216,216,30,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total hors communes < 3500 habitants,"Non, probablement pas",11,216,216,5,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Total hors communes < 3500 habitants,"Oui, de temps en temps",58,216,216,27,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un EPCI,"Oui, de façon continue",35,83,83,42,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un EPCI,"Oui, de façon fréquente",28,83,83,34,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un EPCI,"Non, probablement pas",4,83,83,5,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un EPCI,"Oui, de temps en temps",16,83,83,19,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un département,"Oui, de façon continue",11,29,29,38,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un département,"Oui, de façon fréquente",9,29,29,31,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un département,"Non, probablement pas",0,29,29,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Un département,"Oui, de temps en temps",9,29,29,31,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une commune,"Non, probablement pas",23,140,140,16,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une commune,"Oui, de façon fréquente",25,140,140,18,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une commune,"Oui, de temps en temps",59,140,140,42,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une commune,"Oui, de façon continue",33,140,140,24,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une commune,Sans réponse,0,140,140,0,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une région,"Oui, de façon continue",10,14,14,71,2022
Cyber1. Pensez-vous que votre collectivité est exposée à des attaques cyber ?,Une région,"Oui, de façon fréquente",4,14,14,29,2022
