Question,Structure,Réponses,Occurrences,Nombre de réponses,Effectifs par structure,Pourcentage
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Autre,Oui,43,71,75,57
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Autre,Je ne sais pas,10,71,75,13
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Autre,"Non, mais c’est prévu dans les 12 prochains mois",12,71,75,16
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Autre,Sans réponse,4,71,75,5
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Autre,"Non, et ce n’est pas prévu dans les 12 prochains mois",6,71,75,8
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 10 000 à 100 000 hab.,Oui,6,10,10,60
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 10 000 à 100 000 hab.,Je ne sais pas,1,10,10,10
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 10 000 à 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",1,10,10,10
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 10 000 à 100 000 hab.,Sans réponse,0,10,10,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 10 000 à 100 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",2,10,10,20
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 3 500 à 10 000 hab.,Oui,1,6,6,17
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 3 500 à 10 000 hab.,Je ne sais pas,1,6,6,17
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 3 500 à 10 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",4,6,6,67
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 3 500 à 10 000 hab.,Sans réponse,0,6,6,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de 3 500 à 10 000 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,6,6,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de moins de 3 500 hab.,Oui,3,8,9,33
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de moins de 3 500 hab.,Je ne sais pas,1,8,9,11
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de moins de 3 500 hab.,"Non, mais c’est prévu dans les 12 prochains mois",4,8,9,44
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de moins de 3 500 hab.,Sans réponse,1,8,9,11
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de moins de 3 500 hab.,"Non, et ce n’est pas prévu dans les 12 prochains mois",0,8,9,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de plus de 100 000 hab.,Oui,4,5,5,80
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de plus de 100 000 hab.,Je ne sais pas,0,5,5,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de plus de 100 000 hab.,"Non, mais c’est prévu dans les 12 prochains mois",0,5,5,0
"Afin de respecter le RGPD, avez-vous modifié des processus de gestion des données au sein de l'organisation ?",Communes de plus de 100 000 hab.,Sans réponse,0,5,5,0
