ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
5,,,,,,
6,,,,,,
7,,,,,,
8,82379887100013,"",,,,
9,test,TEST,,,,
10,test,TEST,,,,
11,bla,BLA,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,CC DU PAYS DE MORMAL,CC DU PAYS DE MORMAL,200043321,,49212,GFP
18,Mairie de La Possession,LA POSSESSION,219740081,97408,33405,Commune
19,,,,,,
20,OFPRA,OFPRA,,,,
21,Grand Chambéry,GRAND CHAMBERY,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,Communauté de communes des collines du Perche normand,CC DES COLLINES DU PERCHE NORMAND,200071504,,12433,GFP
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,Commune de Saint-Fons (69),SAINT FONS,216901991,69199,19678,Commune
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,Région Bretagne,REGION BRETAGNE,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,Communauté d'agglomération du gard rhodanien,CA DU GARD RHODANIEN,200034692,,76252,GFP
50,C2RP,CRP,,,,
51,Shom,SHOM,,,,
52,,,,,,
53,,,,,,
54,BRGM,BRGM,,,,
55,,,,,,
56,,,,,,
57,Métropole Européenne de Lille,METROPOLE EUROPEENNE DE LILLE,200093201,,1189961,GFP
58,,,,,,
59,gip mission locale de saint dizier,GIP MISSION LOCALE DE SAINT DIZIER,,,,
60,CARENE,CARENE,,,,
61,SIEEEN,SIEEEN,,,,
62,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,1104397,DEPT
63,,,,,,
64,,,,,,
65,,,,,,
66,,,,,,
67,,,,,,
68,CDG82,CDG,,,,
69,,,,,,
70,,,,,,
71,,,,,,
72,Métropole de Lyon,METROPOLE DE LYON,200046977,691,1428062,ML
72,Métropole de Lyon,METROPOLE DE LYON,200046977,,1428062,GFP
73,Université Paris 1,UNIVERSITE PARIS,,,,
74,,,,,,
75,,,,,,
76,Verneuil sur seine,VERNEUIL SUR SEINE,217806421,78642,16352,Commune
77,MMM,MMM,,,,
78,,,,,,
79,Mairie de Val-de-Reuil,VAL DE REUIL,212707012,27701,13197,Commune
80,Communauté de communes Cœur de France,CC COEUR DE FRANCE,200036135,,18779,GFP
81,,,,,,
82,SOPRA STERIA NEXT,SOPRA STERIA NEXT,,,,
83,DF,DF,,,,
84,,,,,,
85,,,,,,
86,,,,,,
87,,,,,,
88,,,,,,
89,,,,,,
90,,,,,,
91,,,,,,
92,,,,,,
93,REGION BRETAGNE,REGION BRETAGNE,,,,
94,Ville de Soissons,VILLE DE SOISSONS,,,,
95,,,,,,
96,,,,,,
97,Département de la Moselle,LA MOSELLE,,,,
98,GrandSoissons Agglomération,GRANDSOISSONS AGGLOMERATION,,,,
99,,,,,,
100,Commune de Saint-André-de-Cubzac,SAINT ANDRE DE CUBZAC,213303662,33366,12553,Commune
101,Agence Départementale d'Appui aux Territoires du Doubs,AGENCE DEPARTEMENTALE D APPUI AUX TERRITOIRES DU DOUBS,,,,
102,,,,,,
103,,,,,,
104,Centre de Gestion de la Fonction Publique Territoriale du Gard,CENTRE DE GESTION DE LA FONCTION PUBLIQUE TERRITORIALE DU GARD,,,,
105,OPEN DATA FRANCE,OPEN DATA FRANCE,,,,
