ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
8,82379887100013,,,,,
9,test,TEST,,,,
10,test,TEST,,,,
11,bla,BLA,,,,
17,CC DU PAYS DE MORMAL,CC DU PAYS DE MORMAL,200043321,,49212,EPCI
18,Mairie de La Possession,LA POSSESSION,219740081,97408,33405,Commune
20,OFPRA,OFPRA,,,,
21,Grand Chambéry,GRAND CHAMBERY,200 069 110,73000,125778,Metropole
26,Communauté de communes des collines du Perche normand,CC DES COLLINES DU PERCHE NORMAND,200071504,,12433,EPCI
34,Commune de Saint-Fons (69),SAINT FONS,216901991,69199,19678,Commune
41,Région Bretagne,REGION BRETAGNE,233 500 016,35700,3329000,Region
49,Communauté d'agglomération du gard rhodanien,CA DU GARD RHODANIEN,200034692,,76252,EPCI
50,C2RP,CRP,,,,
51,Shom,SHOM,,,,
54,BRGM,BRGM,,,,
57,Métropole Européenne de Lille,METROPOLE EUROPEENNE DE LILLE,200093201,,1189961,Metropole
59,gip mission locale de saint dizier,GIP MISSION LOCALE DE SAINT DIZIER,,,,
60,CARENE,CARENE,122 165,44600,,EPCI
61,SIEEEN,SIEEEN,,,,
62,Département d'Ille-et-Vilaine,ILLE ET VILAINE,223500018,35,1104397,Departement
68,CDG82,CDG,,,,
72,Métropole de Lyon,METROPOLE DE LYON,200046977,691,1428062,Metropole
73,Université Paris 1,UNIVERSITE PARIS,,,,
76,Verneuil sur seine,VERNEUIL SUR SEINE,217806421,78642,16352,Commune
77,MMM,MMM,,,,
79,Mairie de Val-de-Reuil,VAL DE REUIL,212707012,27701,13197,Commune
80,Communauté de communes Cœur de France,CC COEUR DE FRANCE,200036135,,18779,EPCI
82,SOPRA STERIA NEXT,SOPRA STERIA NEXT,,,,
83,DF,DF,,,,
93,REGION BRETAGNE,REGION BRETAGNE,,,,Region
94,Ville de Soissons,VILLE DE SOISSONS,210206959,2722,29363,Commune
97,Département de la Moselle,LA MOSELLE,,,,Departement
98,GrandSoissons Agglomération,GRANDSOISSONS AGGLOMERATION,,,,EPCI
100,Commune de Saint-André-de-Cubzac,SAINT ANDRE DE CUBZAC,213303662,33366,12553,Commune
101,Agence Départementale d'Appui aux Territoires du Doubs,AGENCE DEPARTEMENTALE D APPUI AUX TERRITOIRES DU DOUBS,,,,
104,Centre de Gestion de la Fonction Publique Territoriale du Gard,CENTRE DE GESTION DE LA FONCTION PUBLIQUE TERRITORIALE DU GARD,,,,
105,OPEN DATA FRANCE,OPEN DATA FRANCE,,,,
106,PETR PMO Pôle Marennes Oléron,PETR PMO POLE MARENNES OLERON,,,,
107,Conseil départemental de l'Yonne,YONNE,228900015,89,344022,Departement
108,HAUTE-GARONNE INGENIERIE,HAUTE GARONNE INGENIERIE,,,,
109,Communauté de communes Maremne Adour Côte Sud,CC MAREMNE ADOUR COTE SUD,244000865,,70052,EPCI
112,Communauté d'Agglomération Pays Basque,CA PAYS BASQUE,200 067 106,,,EPCI
115,Métropole de Lyon,METROPOLE DE LYON,200046977,691,1428062,Metropole
116,Mairie de Saint Eugène,SAINT EUGENE,217104116,71411,162,Commune
118,Conseil Départemental des Côtes d'Armor,COTES D ARMOR,222200016,22000,618869,Departement
119,SICTIAM,SICTIAM,,,,
124,Département de la DROME,LA DROME,,,,Departement
125,INFOPRO-DIGITAL,INFOPRO DIGITAL,,,,
126,Commune de Chelles,CHELLES,217701085,77108,55448,Commune
137,Dijon métropole,DIJON METROPOLE,242100410,,260376,Metropole
143,Conseil Départemental des Vosges,VOSGES,228800017,88,375855,Departement
144,Métropole NCA,METROPOLE NCA,,,,Metropole
