ID de la réponse,Quel est le nom de votre structure ?,nom,SIREN,COG,Population totale,Catégorie
8,82379887100013,,,,,
455,?,,,,,
569,a,A,,,,
293,A la recherche d'un poste,A LA RECHERCHE D UN POSTE,,,,
804,ADEUPA,ADEUPA,,,,
981,"ADIRA, l'Agence de développement d'Alsace",ADIRA  L AGENCE DE DEVELOPPEMENT D ALSACE,,,,
101,Agence Départementale d'Appui aux Territoires du Doubs,AGENCE DEPARTEMENTALE D APPUI AUX TERRITOIRES DU DOUBS,,,,
693,Agence économique régionale BFC,AGENCE ECONOMIQUE REGIONALE BFC,,,,
664,Agence régionale de la biodiversité Occitanie,AGENCE REGIONALE DE LA BIODIVERSITE OCCITANIE,,,,
790,Agence Régionale du Numérique et de l'intelligence artificielle (ARNia),AGENCE REGIONALE DU NUMERIQUE ET DE L INTELLIGENCE ARTIFICIELLE  ARNIA,,,,
276,Agglomération de la Région de Compiègne et de la Basse Automne,AGGLOMERATION DE LA REGION DE COMPIEGNE ET DE LA BASSE AUTOMNE,200067965,60200,"83,078.00",EPCI
228,Alès Agglomération,ALES AGGLOMERATION,200 066 918,30100,"131,290.00",EPCI
240,ALPI,ALPI,,,,
621,anct,ANCT,,,,
283,ANGERS LOIRE METROPOLE,ANGERS LOIRE METROPOLE,244900015,49007,"302,399.00",Metropole
285,Archipels,ARCHIPELS,,,,
299,Archives départementales des Yvelines,ARCHIVES DEPARTEMENTALES DES YVELINES,,,,
363,ARGENCES,ARGENCES,211400205,14020,"3,825.00",Commune
591,ASA du canal Branche ancienne de Prades,ASA DU CANAL BRANCHE ANCIENNE DE PRADES,,,,
883,ASIT,ASIT,,,,
247,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,257 302 539,73600,,
250,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,258 302 539,73601,,
279,Assemblée du Pays Tarentaise Vanoise,ASSEMBLEE DU PAYS TARENTAISE VANOISE,259 302 539,73602,,
339,Association du réseau des Carif-Oref,ASSOCIATION DU RESEAU DES CARIF OREF,,,,
563,assurance maladie,ASSURANCE MALADIE,,,,
906,ATMO Grand Est,ATMO GRAND EST,,,,
603,BDF,BDF,,,,
11,bla,BLA,,,,
